description,_id,size,date,probability_1_class,probability_1_value,probability_2_class,probability_2_value,probability_3_class,probability_3_value,probability_4_class,probability_4_value,probability_5_class,probability_5_value,probability_6_class,probability_6_value,probability_7_class,probability_7_value,probability_8_class,probability_8_value,probability_9_class,probability_9_value,probability_10_class,probability_10_value,probability_11_class,probability_11_value,probability_12_class,probability_12_value,probability_13_class,probability_13_value,probability_14_class,probability_14_value,probability_15_class,probability_15_value,probability_16_class,probability_16_value
 Capta 002 Ubicacion 2,62b910fe78257cc153cd6a70,8640044,2022-06-26 01:08:21,animal/others,0.934,mechanical/air_conditioner,0.034,animal/dog,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,
 Capta 003,62b9111878257cc153cd6a78,4320044,2022-06-23 11:55:00,environmental/wind,0.434,environmental/others,0.363,vehicles/airborne,0.042,mechanical/air_conditioner,0.042,alerts/siren,0.038,Music/music,0.022000000000000002,environmental/rain,0.02,alerts/horns,0.012,,,,,,,,,,,,,,,,
 Capta 003,62b9113478257cc153cd6a7f,4320044,2022-06-23 11:56:18,environmental/wind,0.41600000000000004,alerts/siren,0.196,mechanical/air_conditioner,0.122,mechanical/others,0.102,environmental/others,0.036000000000000004,alerts/horns,0.031,Music/music,0.027000000000000003,vehicles/others,0.016,vehicles/airborne,0.011000000000000001,humans/others,0.01,animal/others,0.01,animal/bird,0.01,,,,,,,,
 Capta 002 Ubicacion 2,62b9115778257cc153cd6a89,8640044,2022-06-26 01:16:25,alerts/horns,0.637,Music/music,0.07400000000000001,animal/dog,0.055999999999999994,animal/bird,0.05,alerts/siren,0.05,mechanical/air_conditioner,0.048,mechanical/others,0.04,humans/others,0.019,animal/others,0.017,,,,,,,,,,,,,,
 Capta 003,62b9117f78257cc153cd6a93,4320044,2022-06-23 12:00:16,environmental/wind,0.601,mechanical/air_conditioner,0.131,environmental/others,0.109,vehicles/others,0.066,vehicles/airborne,0.024,environmental/rain,0.022000000000000002,,,,,,,,,,,,,,,,,,,,
 Capta 003,62b911aa78257cc153cd6a9e,4320044,2022-06-23 12:02:23,animal/bird,0.557,humans/others,0.109,animal/dog,0.084,environmental/wind,0.073,vehicles/others,0.044000000000000004,alerts/siren,0.043,alerts/horns,0.036000000000000004,Music/music,0.013999999999999999,environmental/others,0.013000000000000001,mechanical/others,0.012,,,,,,,,,,,,
 Capta 004,62b911e278257cc153cd6aad,4320044,2022-06-25 05:58:09,Music/music,0.446,humans/others,0.377,vehicles/others,0.085,mechanical/air_conditioner,0.040999999999999995,alerts/horns,0.019,,,,,,,,,,,,,,,,,,,,,,
 Capta 002 Ubicacion 2,62b911e378257cc153cd6aae,8640044,2022-06-26 01:28:32,Music/music,0.61,humans/others,0.317,alerts/horns,0.026000000000000002,vehicles/airborne,0.018000000000000002,,,,,,,,,,,,,,,,,,,,,,,,
 Capta 004,62b9121078257cc153cd6ab9,4320044,2022-06-25 06:00:43,vehicles/others,0.21,humans/others,0.155,Music/music,0.14400000000000002,animal/others,0.142,mechanical/air_conditioner,0.11699999999999999,environmental/wind,0.10300000000000001,vehicles/airborne,0.026000000000000002,animal/dog,0.02,environmental/others,0.018000000000000002,mechanical/others,0.017,alerts/siren,0.015,animal/bird,0.012,,,,,,,,
 Capta 004,62b9122d78257cc153cd6ac1,4320044,2022-06-25 06:02:47,vehicles/others,0.9059999999999999,humans/others,0.027000000000000003,animal/others,0.017,environmental/wind,0.016,animal/dog,0.013000000000000001,animal/bird,0.01,,,,,,,,,,,,,,,,,,,,
 Capta 002 Ubicacion 2,62b9123c78257cc153cd6ac5,8640044,2022-06-26 01:35:36,alerts/siren,0.221,animal/others,0.125,environmental/wind,0.124,Music/music,0.113,mechanical/air_conditioner,0.09,alerts/horns,0.07200000000000001,mechanical/others,0.066,vehicles/airborne,0.061,humans/others,0.055999999999999994,environmental/others,0.031,environmental/rain,0.011000000000000001,animal/dog,0.011000000000000001,,,,,,,,
 Capta 004,62b9124a78257cc153cd6ac9,4320044,2022-06-25 06:04:19,Music/music,0.7829999999999999,mechanical/air_conditioner,0.09699999999999999,humans/others,0.076,mechanical/others,0.036000000000000004,,,,,,,,,,,,,,,,,,,,,,,,
 Capta 003,62b9127a78257cc153cd6ad6,4320044,2022-06-23 12:17:10,vehicles/others,0.423,environmental/wind,0.38,mechanical/air_conditioner,0.139,alerts/siren,0.015,environmental/others,0.01,,,,,,,,,,,,,,,,,,,,,,
 Capta 004,62b9128078257cc153cd6ad7,4320044,2022-06-25 06:07:25,alerts/horns,0.466,humans/others,0.166,vehicles/airborne,0.159,Music/music,0.066,mechanical/air_conditioner,0.061,alerts/siren,0.04,mechanical/others,0.013999999999999999,,,,,,,,,,,,,,,,,,
 Capta 003,62b9128678257cc153cd6ad9,4320044,2022-06-23 12:18:13,environmental/wind,0.48,mechanical/air_conditioner,0.204,alerts/siren,0.10400000000000001,mechanical/others,0.077,animal/others,0.026000000000000002,vehicles/others,0.024,environmental/others,0.018000000000000002,animal/bird,0.018000000000000002,,,,,,,,,,,,,,,,
 Capta 002 Ubicacion 2,62b912a578257cc153cd6ae1,8640044,2022-06-26 01:44:42,alerts/horns,0.267,mechanical/air_conditioner,0.244,humans/others,0.162,alerts/siren,0.081,mechanical/others,0.052000000000000005,Music/music,0.047,vehicles/airborne,0.044000000000000004,animal/others,0.033,environmental/others,0.027000000000000003,mechanical/impact,0.013000000000000001,,,,,,,,,,,,
 Capta 003,62b912f778257cc153cd6af8,4320044,2022-06-23 12:25:04,environmental/wind,0.493,mechanical/air_conditioner,0.17,environmental/others,0.092,alerts/siren,0.081,alerts/horns,0.027999999999999997,animal/dog,0.026000000000000002,mechanical/others,0.024,Music/music,0.022000000000000002,animal/others,0.015,vehicles/others,0.013000000000000001,humans/others,0.013000000000000001,,,,,,,,,,
 Capta 002 Ubicacion 2,62b912fe78257cc153cd6afa,8640044,2022-06-26 01:52:47,Music/music,0.46299999999999997,humans/others,0.27899999999999997,mechanical/others,0.06,mechanical/air_conditioner,0.059000000000000004,environmental/waves,0.027999999999999997,animal/others,0.027000000000000003,environmental/others,0.016,mechanical/impact,0.012,alerts/horns,0.012,alerts/siren,0.011000000000000001,mechanical/digging,0.011000000000000001,,,,,,,,,,
 Capta 004,62b912ff78257cc153cd6afb,4320044,2022-06-25 06:15:07,Music/music,0.865,humans/others,0.094,alerts/horns,0.037000000000000005,,,,,,,,,,,,,,,,,,,,,,,,,,
 Capta 002 Ubicacion 2,62b9130b78257cc153cd6afe,8640044,2022-06-26 01:53:47,Music/music,0.40299999999999997,environmental/others,0.243,mechanical/air_conditioner,0.106,alerts/horns,0.086,humans/others,0.077,vehicles/others,0.051,alerts/siren,0.012,,,,,,,,,,,,,,,,,,
 Capta 002 Ubicacion 2,62b9132978257cc153cd6b06,8640044,2022-06-26 01:55:49,alerts/horns,0.539,mechanical/air_conditioner,0.12,alerts/siren,0.107,humans/others,0.073,mechanical/others,0.044000000000000004,Music/music,0.037000000000000005,mechanical/explosives,0.018000000000000002,mechanical/digging,0.012,animal/others,0.012,mechanical/impact,0.011000000000000001,environmental/others,0.011000000000000001,,,,,,,,,,
 Capta 003,62b9134678257cc153cd6b0d,4320044,2022-06-23 12:29:19,alerts/siren,0.326,environmental/wind,0.324,mechanical/others,0.106,mechanical/air_conditioner,0.087,alerts/horns,0.064,Music/music,0.022000000000000002,environmental/others,0.02,vehicles/others,0.012,animal/dog,0.012,,,,,,,,,,,,,,
 Capta 002 Ubicacion 2,62b9134b78257cc153cd6b0f,8640044,2022-06-26 01:58:50,alerts/horns,0.639,mechanical/air_conditioner,0.125,alerts/siren,0.084,humans/others,0.053,Music/music,0.044000000000000004,vehicles/airborne,0.021,,,,,,,,,,,,,,,,,,,,
 Capta 004,62b9137078257cc153cd6b19,4320044,2022-06-25 06:21:18,vehicles/others,0.935,humans/others,0.028999999999999998,mechanical/air_conditioner,0.013999999999999999,Music/music,0.013999999999999999,,,,,,,,,,,,,,,,,,,,,,,,
 Capta 003,62b9137b78257cc153cd6b1c,4320044,2022-06-23 12:33:03,alerts/siren,0.245,mechanical/others,0.21600000000000003,environmental/wind,0.114,mechanical/air_conditioner,0.111,Music/music,0.09,vehicles/others,0.081,humans/others,0.035,alerts/horns,0.027000000000000003,animal/others,0.022000000000000002,animal/bird,0.017,animal/dog,0.017,,,,,,,,,,
 Capta 004,62b913b078257cc153cd6b2a,4320044,2022-06-25 06:24:54,Music/music,0.512,humans/others,0.46299999999999997,vehicles/others,0.013999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,
 Capta 003,62b913b678257cc153cd6b2c,4320044,2022-06-23 12:36:57,environmental/wind,0.764,vehicles/others,0.063,mechanical/air_conditioner,0.057,alerts/siren,0.055,environmental/others,0.015,vehicles/airborne,0.012,,,,,,,,,,,,,,,,,,,,
 Capta 003,62b913c178257cc153cd6b2f,4320044,2022-06-23 12:39:24,environmental/wind,0.542,mechanical/air_conditioner,0.26899999999999996,environmental/others,0.071,vehicles/others,0.036000000000000004,vehicles/airborne,0.021,animal/others,0.018000000000000002,environmental/rain,0.013000000000000001,,,,,,,,,,,,,,,,,,
 Capta 004,62b913cb78257cc153cd6b31,4320044,2022-06-25 06:26:26,Music/music,0.664,humans/others,0.282,alerts/horns,0.019,mechanical/others,0.013000000000000001,,,,,,,,,,,,,,,,,,,,,,,,
 Capta 003,62b913d978257cc153cd6b36,4320044,2022-06-23 12:41:13,animal/bird,0.36700000000000005,humans/others,0.184,Music/music,0.131,alerts/siren,0.073,alerts/horns,0.071,mechanical/air_conditioner,0.044000000000000004,environmental/others,0.027000000000000003,animal/dog,0.024,animal/others,0.02,environmental/wind,0.018000000000000002,vehicles/airborne,0.013000000000000001,mechanical/others,0.011000000000000001,,,,,,,,
 Capta 002 Ubicacion 2,62b913e478257cc153cd6b38,8640044,2022-06-26 02:12:58,Music/music,0.518,environmental/others,0.262,humans/others,0.121,vehicles/airborne,0.028999999999999998,alerts/siren,0.025,environmental/rain,0.012,,,,,,,,,,,,,,,,,,,,
 Capta 002 Ubicacion 2,62b913ee78257cc153cd6b3b,8640044,2022-06-26 02:13:59,alerts/siren,0.258,mechanical/air_conditioner,0.23800000000000002,humans/others,0.188,Music/music,0.136,alerts/horns,0.062,animal/dog,0.042,mechanical/others,0.021,animal/others,0.021,environmental/others,0.011000000000000001,,,,,,,,,,,,,,
 Capta 004,62b9140778257cc153cd6b43,4320044,2022-06-25 06:30:02,Music/music,0.584,humans/others,0.203,alerts/horns,0.185,animal/others,0.012,,,,,,,,,,,,,,,,,,,,,,,,
 Capta 003,62b9140c78257cc153cd6b44,4320044,2022-06-23 12:45:54,environmental/wind,0.605,mechanical/air_conditioner,0.11699999999999999,environmental/others,0.069,vehicles/others,0.061,alerts/siren,0.040999999999999995,animal/bird,0.019,humans/others,0.017,animal/others,0.015,environmental/rain,0.013999999999999999,mechanical/others,0.011000000000000001,Music/music,0.011000000000000001,,,,,,,,,,
 Capta 002 Ubicacion 2,62b9142578257cc153cd6b4b,8640044,2022-06-26 02:19:02,Music/music,0.47200000000000003,humans/others,0.306,alerts/horns,0.129,alerts/siren,0.038,mechanical/air_conditioner,0.026000000000000002,mechanical/others,0.023,,,,,,,,,,,,,,,,,,,,
 Capta 003,62b9143278257cc153cd6b4f,4320044,2022-06-23 12:48:33,environmental/wind,0.268,vehicles/airborne,0.198,mechanical/air_conditioner,0.184,environmental/others,0.08900000000000001,animal/others,0.086,Music/music,0.046,alerts/siren,0.039,humans/others,0.028999999999999998,mechanical/others,0.018000000000000002,alerts/horns,0.015,,,,,,,,,,,,
 Capta 004,62b9143e78257cc153cd6b52,4320044,2022-06-25 06:33:07,Music/music,0.895,humans/others,0.046,mechanical/air_conditioner,0.037000000000000005,mechanical/others,0.013000000000000001,,,,,,,,,,,,,,,,,,,,,,,,
 Capta 004,62b9144a78257cc153cd6b55,4320044,2022-06-25 06:33:38,Music/music,0.506,vehicles/others,0.228,mechanical/air_conditioner,0.214,mechanical/others,0.027999999999999997,humans/others,0.013999999999999999,,,,,,,,,,,,,,,,,,,,,,
 Capta 002 Ubicacion 2,62b9145178257cc153cd6b57,8640044,2022-06-26 02:23:04,alerts/horns,0.273,alerts/siren,0.21600000000000003,mechanical/air_conditioner,0.2,humans/others,0.075,mechanical/others,0.064,animal/dog,0.042,mechanical/explosives,0.034,Music/music,0.03,animal/others,0.027000000000000003,environmental/others,0.013999999999999999,mechanical/digging,0.011000000000000001,,,,,,,,,,
 Capta 003,62b9147878257cc153cd6b61,4320044,2022-06-23 12:52:50,vehicles/others,0.892,mechanical/air_conditioner,0.073,mechanical/others,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,
 Capta 004,62b9148278257cc153cd6b64,4320044,2022-06-25 06:36:44,alerts/horns,0.578,humans/others,0.18899999999999997,Music/music,0.158,mechanical/air_conditioner,0.026000000000000002,alerts/siren,0.013999999999999999,,,,,,,,,,,,,,,,,,,,,,
 Capta 002 Ubicacion 2,62b9148f78257cc153cd6b68,8640044,2022-06-26 02:29:09,alerts/siren,0.319,environmental/wind,0.095,vehicles/airborne,0.08800000000000001,mechanical/others,0.086,Music/music,0.081,humans/others,0.077,alerts/horns,0.07,environmental/others,0.068,animal/others,0.047,mechanical/air_conditioner,0.039,animal/dog,0.012,,,,,,,,,,
 Capta 002 Ubicacion 2,62b914cf78257cc153cd6b79,8640044,2022-06-26 02:34:11,alerts/horns,0.358,humans/others,0.209,vehicles/airborne,0.157,alerts/siren,0.124,Music/music,0.057,mechanical/air_conditioner,0.045,animal/dog,0.026000000000000002,animal/others,0.011000000000000001,,,,,,,,,,,,,,,,
 Capta 002 Ubicacion 2,62b914dc78257cc153cd6b7c,8640044,2022-06-26 02:35:12,environmental/wind,0.271,environmental/rain,0.17,mechanical/others,0.138,alerts/siren,0.08,environmental/others,0.07400000000000001,Music/music,0.07200000000000001,humans/others,0.057999999999999996,mechanical/air_conditioner,0.042,alerts/horns,0.021,animal/bird,0.019,vehicles/airborne,0.016,animal/others,0.013999999999999999,animal/dog,0.013000000000000001,,,,,,
 Capta 002 Ubicacion 2,62b914f678257cc153cd6b83,8640044,2022-06-26 02:37:13,alerts/horns,0.25,mechanical/air_conditioner,0.249,vehicles/airborne,0.153,animal/others,0.087,humans/others,0.086,mechanical/others,0.040999999999999995,alerts/siren,0.038,Music/music,0.037000000000000005,environmental/others,0.027000000000000003,animal/dog,0.012,,,,,,,,,,,,
 Capta 003,62b9151678257cc153cd6b8c,4320044,2022-06-23 13:06:45,environmental/wind,0.32899999999999996,environmental/others,0.28600000000000003,vehicles/others,0.136,mechanical/air_conditioner,0.099,environmental/rain,0.044000000000000004,animal/others,0.031,vehicles/airborne,0.024,Music/music,0.013999999999999999,,,,,,,,,,,,,,,,
 Capta 004,62b9153c78257cc153cd6b97,4320044,2022-06-25 06:47:32,Music/music,0.7340000000000001,humans/others,0.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Capta 004,62b9154378257cc153cd6b98,4320044,2022-06-25 06:48:03,Music/music,0.992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Capta 003,62b9154578257cc153cd6b99,4320044,2022-06-23 13:10:41,environmental/wind,0.581,environmental/others,0.20199999999999999,vehicles/airborne,0.046,vehicles/others,0.040999999999999995,mechanical/air_conditioner,0.037000000000000005,environmental/rain,0.026000000000000002,animal/bird,0.013000000000000001,Music/music,0.012,humans/others,0.011000000000000001,mechanical/others,0.011000000000000001,,,,,,,,,,,,
 Capta 004,62b9154e78257cc153cd6b9b,4320044,2022-06-25 06:48:33,Music/music,0.875,humans/others,0.11900000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Capta 003,62b9154f78257cc153cd6b9c,4320044,2022-06-23 13:11:39,vehicles/others,0.311,mechanical/air_conditioner,0.215,Music/music,0.10400000000000001,alerts/siren,0.067,humans/others,0.059000000000000004,environmental/wind,0.047,vehicles/airborne,0.04,mechanical/impact,0.032,animal/others,0.026000000000000002,mechanical/others,0.02,environmental/others,0.02,alerts/horns,0.017,animal/dog,0.016,,,,,,
 Capta 002 Ubicacion 2,62b9155278257cc153cd6b9d,8640044,2022-06-26 02:45:18,alerts/horns,0.371,mechanical/air_conditioner,0.17800000000000002,alerts/siren,0.086,mechanical/others,0.084,Music/music,0.071,humans/others,0.057,animal/others,0.055999999999999994,environmental/others,0.023,mechanical/impact,0.02,vehicles/airborne,0.017,animal/dog,0.01,,,,,,,,,,
 Capta 004,62b9155678257cc153cd6b9e,4320044,2022-06-25 06:49:04,Music/music,0.875,mechanical/air_conditioner,0.035,humans/others,0.032,vehicles/others,0.027999999999999997,mechanical/others,0.019,,,,,,,,,,,,,,,,,,,,,,
 Capta 004,62b9157378257cc153cd6ba5,4320044,2022-06-25 06:50:37,Music/music,0.598,humans/others,0.289,mechanical/others,0.045,alerts/horns,0.03,mechanical/air_conditioner,0.027999999999999997,,,,,,,,,,,,,,,,,,,,,,
 Capta 003,62b9157478257cc153cd6ba6,4320044,2022-06-23 13:15:07,vehicles/others,0.41100000000000003,environmental/wind,0.299,environmental/others,0.10400000000000001,environmental/rain,0.055999999999999994,mechanical/others,0.040999999999999995,mechanical/air_conditioner,0.026000000000000002,alerts/siren,0.013999999999999999,vehicles/airborne,0.013999999999999999,Music/music,0.011000000000000001,animal/bird,0.011000000000000001,,,,,,,,,,,,
 Capta 004,62b9157b78257cc153cd6ba8,4320044,2022-06-25 06:51:08,Music/music,0.501,humans/others,0.37799999999999995,vehicles/others,0.066,mechanical/others,0.023,mechanical/air_conditioner,0.017,,,,,,,,,,,,,,,,,,,,,,
 Capta 002 Ubicacion 2,62b9158a78257cc153cd6bac,8640044,2022-06-26 02:50:21,Music/music,0.451,humans/others,0.21600000000000003,environmental/others,0.183,mechanical/others,0.028999999999999998,mechanical/air_conditioner,0.028999999999999998,animal/others,0.022000000000000002,alerts/horns,0.02,alerts/siren,0.018000000000000002,vehicles/airborne,0.011000000000000001,animal/dog,0.01,,,,,,,,,,,,
 Capta 004,62b9158d78257cc153cd6bae,4320044,2022-06-25 06:52:10,alerts/horns,0.32299999999999995,mechanical/air_conditioner,0.213,alerts/siren,0.135,mechanical/explosives,0.092,humans/others,0.057999999999999996,mechanical/others,0.057,animal/others,0.027000000000000003,animal/dog,0.025,mechanical/impact,0.019,Music/music,0.013999999999999999,mechanical/digging,0.013999999999999999,environmental/others,0.013000000000000001,,,,,,,,
 Capta 004,62b9159c78257cc153cd6bb2,4320044,2022-06-25 06:53:12,Music/music,0.851,humans/others,0.078,mechanical/air_conditioner,0.035,mechanical/others,0.021,alerts/horns,0.01,,,,,,,,,,,,,,,,,,,,,,
 Capta 002 Ubicacion 2,62b915bb78257cc153cd6bba,8640044,2022-06-26 02:54:23,alerts/horns,0.301,humans/others,0.15,alerts/siren,0.132,mechanical/air_conditioner,0.125,mechanical/others,0.092,Music/music,0.052000000000000005,animal/others,0.051,animal/dog,0.034,environmental/others,0.025,vehicles/airborne,0.016,,,,,,,,,,,,
 Capta 004,62b915bf78257cc153cd6bbc,4320044,2022-06-25 06:55:15,alerts/siren,0.248,humans/others,0.225,Music/music,0.192,alerts/horns,0.146,vehicles/airborne,0.113,animal/others,0.036000000000000004,mechanical/others,0.016,,,,,,,,,,,,,,,,,,
 Capta 002 Ubicacion 2,62b915d378257cc153cd6bc1,8640044,2022-06-26 02:56:24,alerts/horns,0.312,alerts/siren,0.281,environmental/others,0.095,Music/music,0.073,animal/bird,0.055,humans/others,0.040999999999999995,mechanical/air_conditioner,0.038,mechanical/others,0.037000000000000005,environmental/wind,0.027000000000000003,animal/dog,0.016,mechanical/digging,0.012,,,,,,,,,,
 Capta 004,62b915da78257cc153cd6bc3,4320044,2022-06-25 06:56:48,alerts/horns,0.45399999999999996,mechanical/air_conditioner,0.166,humans/others,0.133,alerts/siren,0.08199999999999999,animal/others,0.047,Music/music,0.037000000000000005,animal/dog,0.025,mechanical/others,0.016,vehicles/airborne,0.015,,,,,,,,,,,,,,
 Capta 002 Ubicacion 2,62b915e178257cc153cd6bc4,8640044,2022-06-26 02:57:25,environmental/wind,0.475,alerts/siren,0.221,vehicles/airborne,0.069,animal/others,0.068,vehicles/others,0.051,animal/bird,0.036000000000000004,environmental/rain,0.022000000000000002,humans/others,0.015,Music/music,0.011000000000000001,,,,,,,,,,,,,,
 Capta 002 Ubicacion 2,62b915eb78257cc153cd6bc8,8640044,2022-06-26 02:58:25,alerts/siren,0.449,alerts/horns,0.127,mechanical/air_conditioner,0.098,Music/music,0.094,mechanical/others,0.07,environmental/wind,0.039,animal/dog,0.03,humans/others,0.026000000000000002,animal/others,0.023,environmental/others,0.018000000000000002,vehicles/airborne,0.011000000000000001,,,,,,,,,,
 Capta 004,62b915f478257cc153cd6bca,4320044,2022-06-25 06:58:20,vehicles/others,0.515,humans/others,0.358,Music/music,0.049,vehicles/airborne,0.027999999999999997,environmental/wind,0.013999999999999999,mechanical/others,0.012,,,,,,,,,,,,,,,,,,,,
 Capta 004,62b9160478257cc153cd6bce,4320044,2022-06-25 06:59:22,Music/music,0.9440000000000001,alerts/horns,0.027999999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Capta 004,62b9161578257cc153cd6bd4,4320044,2022-06-25 07:00:24,Music/music,0.8340000000000001,humans/others,0.163,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Capta 004,62b9161e78257cc153cd6bd6,4320044,2022-06-25 07:00:55,Music/music,0.7190000000000001,alerts/horns,0.21,humans/others,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,
 Capta 004,62b9163278257cc153cd6bdc,4320044,2022-06-25 07:01:56,Music/music,0.435,humans/others,0.303,mechanical/others,0.14,mechanical/air_conditioner,0.063,alerts/siren,0.039,,,,,,,,,,,,,,,,,,,,,,
 Capta 003,62b9163e78257cc153cd6bde,4320044,2022-06-23 13:33:25,vehicles/others,0.506,environmental/others,0.252,mechanical/air_conditioner,0.163,environmental/wind,0.046,environmental/rain,0.012,,,,,,,,,,,,,,,,,,,,,,
 Capta 004,62b9163f78257cc153cd6bdf,4320044,2022-06-25 07:02:27,Music/music,0.5670000000000001,humans/others,0.166,mechanical/air_conditioner,0.133,mechanical/others,0.081,alerts/siren,0.032,alerts/horns,0.016,,,,,,,,,,,,,,,,,,,,
 Capta 004,62b9164778257cc153cd6be1,4320044,2022-06-25 07:02:58,Music/music,0.461,humans/others,0.256,mechanical/air_conditioner,0.122,mechanical/others,0.053,vehicles/airborne,0.038,alerts/siren,0.036000000000000004,alerts/horns,0.013999999999999999,,,,,,,,,,,,,,,,,,
 Capta 003,62b9164c78257cc153cd6be2,4320044,2022-06-23 13:34:19,vehicles/others,0.294,mechanical/air_conditioner,0.259,environmental/wind,0.203,environmental/others,0.055,Music/music,0.031,humans/others,0.031,vehicles/airborne,0.027999999999999997,mechanical/others,0.027000000000000003,environmental/rain,0.025,animal/others,0.015,alerts/siren,0.011000000000000001,,,,,,,,,,
 Capta 004,62b9166078257cc153cd6be8,4320044,2022-06-25 07:04:30,Music/music,0.975,humans/others,0.013999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Capta 003,62b9167378257cc153cd6bec,4320044,2022-06-23 13:37:20,vehicles/others,0.752,environmental/wind,0.198,mechanical/air_conditioner,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,
 Capta 002 Ubicacion 2,62b9167578257cc153cd6bed,8640044,2022-06-26 03:10:32,Music/music,0.44,humans/others,0.374,alerts/horns,0.11599999999999999,alerts/siren,0.036000000000000004,mechanical/air_conditioner,0.012,,,,,,,,,,,,,,,,,,,,,,
 Capta 004,62b9167578257cc153cd6bee,4320044,2022-06-25 07:05:32,Music/music,0.835,humans/others,0.07400000000000001,mechanical/others,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,
 Capta 004,62b9167d78257cc153cd6bef,4320044,2022-06-25 07:06:03,Music/music,0.547,humans/others,0.307,alerts/horns,0.055,mechanical/air_conditioner,0.035,alerts/siren,0.019,vehicles/others,0.011000000000000001,,,,,,,,,,,,,,,,,,,,
 Capta 003,62b9167f78257cc153cd6bf0,4320044,2022-06-23 13:38:15,Music/music,0.544,environmental/others,0.20199999999999999,humans/others,0.149,alerts/horns,0.032,alerts/siren,0.023,animal/dog,0.018000000000000002,,,,,,,,,,,,,,,,,,,,
 Capta 004,62b9168f78257cc153cd6bf5,4320044,2022-06-25 07:07:05,Music/music,0.728,humans/others,0.204,vehicles/others,0.037000000000000005,mechanical/others,0.013000000000000001,,,,,,,,,,,,,,,,,,,,,,,,
 Capta 002 Ubicacion 2,62b9169878257cc153cd6bf6,8640044,2022-06-26 03:13:34,alerts/horns,0.349,mechanical/air_conditioner,0.17800000000000002,alerts/siren,0.163,Music/music,0.107,humans/others,0.07400000000000001,mechanical/others,0.044000000000000004,animal/others,0.026000000000000002,animal/dog,0.023,environmental/others,0.019,,,,,,,,,,,,,,
 Capta 004,62b916a378257cc153cd6bf9,4320044,2022-06-25 07:08:07,Music/music,0.955,mechanical/air_conditioner,0.028999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Capta 002 Ubicacion 2,62b916b078257cc153cd6bfd,8640044,2022-06-26 03:15:35,alerts/horns,0.344,mechanical/air_conditioner,0.322,alerts/siren,0.086,mechanical/others,0.07200000000000001,humans/others,0.057,mechanical/explosives,0.022000000000000002,mechanical/impact,0.018000000000000002,animal/others,0.017,Music/music,0.013000000000000001,animal/dog,0.012,environmental/others,0.011000000000000001,mechanical/digging,0.011000000000000001,vehicles/airborne,0.011000000000000001,,,,,,
 Capta 004,62b916b778257cc153cd6bff,4320044,2022-06-25 07:09:08,Music/music,0.935,humans/others,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Capta 004,62b916c278257cc153cd6c01,4320044,2022-06-25 07:09:39,Music/music,0.977,alerts/horns,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Capta 004,62b916cc78257cc153cd6c04,4320044,2022-06-25 07:10:10,Music/music,0.976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Capta 003,62b916d678257cc153cd6c07,4320044,2022-06-23 13:49:22,environmental/wind,0.32799999999999996,environmental/others,0.155,animal/dog,0.11800000000000001,vehicles/others,0.11800000000000001,mechanical/air_conditioner,0.069,humans/others,0.047,Music/music,0.031,alerts/horns,0.03,environmental/rain,0.026000000000000002,alerts/siren,0.024,animal/bird,0.017,animal/others,0.017,,,,,,,,
 Capta 004,62b916dd78257cc153cd6c09,4320044,2022-06-25 07:11:12,Music/music,0.784,humans/others,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Capta 003,62b916e578257cc153cd6c0a,4320044,2022-06-23 13:50:41,environmental/wind,0.43799999999999994,vehicles/others,0.201,mechanical/air_conditioner,0.17800000000000002,environmental/others,0.07400000000000001,vehicles/airborne,0.042,Music/music,0.013000000000000001,environmental/rain,0.012,animal/bird,0.01,,,,,,,,,,,,,,,,
 Capta 004,62b916e678257cc153cd6c0b,4320044,2022-06-25 07:11:43,Music/music,0.752,humans/others,0.196,mechanical/air_conditioner,0.024,,,,,,,,,,,,,,,,,,,,,,,,,,
 Capta 004,62b9170278257cc153cd6c12,4320044,2022-06-25 07:13:15,Music/music,0.925,alerts/horns,0.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Capta 004,62b9170e78257cc153cd6c15,4320044,2022-06-25 07:13:46,Music/music,0.938,humans/others,0.044000000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,
